date,index,open,close,low,high,volume,week,companies,range_open,range_close,range_low,range_high,range_volume
2010-01-04,484.0,46.622893051391785,46.79083708137041,46.231244173447514,47.156276381156296,6038158.886509636,0,467,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(4764258.012, 6382579.603]"
2010-01-05,951.5,46.74310044658119,46.85867739529916,46.209104587606824,47.23186115384617,7490020.94017094,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-06,1419.5,46.823420899572675,46.870450792735035,46.353656053418774,47.357010794871776,7179430.555555556,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-07,1887.5,46.81186101068377,46.967480771367576,46.29763026923078,47.37141232264956,7975294.658119658,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-08,2355.5,46.82348501068372,47.1690620982906,46.42483107692308,47.44365609188036,6573375.0,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-11,2823.5,47.37570727777775,47.27269441239323,46.733421049145285,47.77053636538463,6345980.341880342,0,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(4764258.012, 6382579.603]"
2010-01-12,3291.5,46.96188240170941,46.72081403205123,46.30448926282052,47.345087730769244,7357155.128205128,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-13,3759.5,46.745963570512835,47.14045081623929,46.29397650427354,47.366220243589694,6740027.991452991,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-14,4227.5,47.03207482051279,47.17705325213672,46.655920931623925,47.56374131410258,6313323.931623932,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(4764258.012, 6382579.603]"
2010-01-15,4695.5,47.16827144017099,46.69485228418806,46.34694650000005,47.428463677350415,8060863.888888889,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(8000901.194, 9619222.785]"
2010-01-19,5163.5,46.69057913034189,47.281775440170975,46.432886675213695,47.53196794230767,6876903.205128205,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-20,5631.5,46.941647397435844,46.7621173482906,46.16634810470084,47.237779856837655,7798895.94017094,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-21,6099.5,46.84015169871793,46.024702696581215,45.677480604700904,47.27980981410253,11036004.273504274,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-01-22,6567.5,45.88280112393161,45.06220257051283,44.76929658760684,46.38780111324785,10165061.111111112,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-01-25,7035.5,45.422929290598276,45.1708138504273,44.74393337393165,45.807352207265,7511871.367521368,0,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-01-26,7503.5,44.97314269658117,44.958698540598256,44.522544628205104,45.66369856410258,8426140.811965812,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(8000901.194, 9619222.785]"
2010-01-27,7971.5,44.896946561965784,45.128207158119714,44.23831384615387,45.48961729273505,9074837.82051282,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(8000901.194, 9619222.785]"
2010-01-28,8439.5,45.31057878418801,44.60427537820511,44.15312146367522,45.60555740811964,9808458.333333334,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-01-29,8907.5,44.86333534188038,44.123463371794905,43.90485227136752,45.33468146153848,9707235.683760684,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-02-01,9375.5,44.397266929487124,44.8165401794872,44.02654021153847,45.06923265384615,7111492.735042735,0,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-02,9843.5,44.924424948717956,45.37944618803417,44.48795060042737,45.62228832264958,7856430.769230769,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-03,10311.5,45.170749743589724,45.15839931410254,44.69322838675214,45.67448898504267,7532401.495726496,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-04,10779.5,44.76643360256407,43.67461720085474,43.54173251923079,44.97786518376066,9943507.692307692,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-02-05,11247.5,43.6722668867521,43.76483088034186,42.70271561538456,44.155173004273465,10574323.504273504,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(9619222.785, 11237544.376]"
2010-02-08,11715.5,43.80942500641022,43.4910276410256,43.23066418376064,44.33542920940171,6943267.307692308,0,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-09,12183.5,43.97545061111112,44.065365303418815,43.49987361111112,44.55527986538462,8049469.658119658,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(8000901.194, 9619222.785]"
2010-02-10,12651.5,44.001326643162415,43.9261344551282,43.38275820512821,44.40773695726497,6760503.205128205,2,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-11,13119.5,43.86359175854699,44.44474552564106,43.47525835256408,44.655984914529895,7240013.461538462,3,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-12,13587.5,44.02320700213676,44.42201050427348,43.6093394188034,44.618933824786374,7583234.615384615,4,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
2010-02-16,14055.5,44.80248065170941,45.21596350213677,44.45679689743589,45.39352763034188,6823560.47008547,1,468,"(43.32, 48.633]","(43.115, 48.46]","(42.411, 47.739]","(43.873000000000005, 49.227]","(6382579.603, 8000901.194]"
