date,cases,deaths
2020/1/21,1,0
2020/1/22,1,0
2020/1/24,2,0
2020/1/25,3,0
2020/1/26,5,0
2020/1/27,5,0
2020/1/28,5,0
2020/1/29,5,0
2020/1/30,6,0
2020/1/31,7,0
2020/2/1,8,0
2020/2/2,11,0
2020/2/3,11,0
2020/2/4,11,0
2020/2/5,12,0
2020/2/6,12,0
2020/2/7,12,0
2020/2/8,12,0
2020/2/9,12,0
2020/2/10,13,0
2020/2/11,13,0
2020/2/12,14,0
2020/2/13,15,0
2020/2/14,15,0
2020/2/15,15,0
2020/2/16,15,0
2020/2/17,25,0
2020/2/18,25,0
2020/2/19,25,0
2020/2/20,27,0
2020/2/21,30,0
2020/2/22,30,0
2020/2/23,30,0
2020/2/24,43,0
2020/2/25,45,0
2020/2/26,60,0
2020/2/27,60,0
2020/2/28,65,0
2020/2/29,70,1
2020/3/1,88,3
2020/3/2,104,6
2020/3/3,125,10
2020/3/4,161,12
2020/3/5,228,12
2020/3/6,311,15
2020/3/7,428,19
2020/3/8,547,22
2020/3/9,748,26
2020/3/10,1018,31
2020/3/11,1263,37
2020/3/12,1668,43
2020/3/13,2224,50
2020/3/14,2898,60
2020/3/15,3600,68
2020/3/16,4507,91
2020/3/17,5906,117
2020/3/18,8350,162
2020/3/19,12393,212
2020/3/20,18012,277
2020/3/21,24528,360
2020/3/22,33073,458
2020/3/23,43505,579
2020/3/24,53938,785
2020/3/25,68572,1054
2020/3/26,85570,1353
2020/3/27,102900,1770
2020/3/28,123966,2300
2020/3/29,142486,2718
2020/3/30,163955,3368
2020/3/31,188461,4304
2020/4/1,215391,5325
2020/4/2,245108,6541
2020/4/3,277426,7932
2020/4/4,312525,9488
2020/4/5,338141,10856
2020/4/6,369057,12382
2020/4/7,399394,14616
2020/4/8,431214,16701
2020/4/9,465913,18821
2020/4/10,499386,21084
2020/4/11,531106,23168
2020/4/12,558249,24849
2020/4/13,584018,26613
2020/4/14,610709,29318
2020/4/15,640742,32070
2020/4/16,672355,34419
2020/4/17,703864,36708
2020/4/18,732262,38659
2020/4/19,757596,40179
2020/4/20,784991,42016
2020/4/21,810505,44688
2020/4/22,839336,47059
2020/4/23,873112,49228
2020/4/24,909853,51360
2020/4/25,944261,53327
2020/4/26,970996,54580
2020/4/27,994193,56022
2020/4/28,1018844,58416
2020/4/29,1045399,60930
2020/4/30,1075756,63140
2020/5/1,1109726,64902
2020/5/2,1139200,66485
2020/5/3,1165340,67816
2020/5/4,1187302,68905
2020/5/5,1211011,71139
2020/5/6,1235517,73847
2020/5/7,1263995,75805
2020/5/8,1291643,77380
2020/5/9,1316511,78834
2020/5/10,1336828,79766
2020/5/11,1354449,80748
2020/5/12,1376749,82400
2020/5/13,1397894,84168
2020/5/14,1424856,85906
2020/5/15,1451093,87499
2020/5/16,1474752,88724
2020/5/17,1493766,89568
2020/5/18,1515593,90414
2020/5/19,1536570,91934
2020/5/20,1559640,93411
2020/5/21,1585373,94722
2020/5/22,1609172,96010
2020/5/23,1631440,97060
2020/5/24,1651471,97680
2020/5/25,1670571,98190
2020/5/26,1689467,98937
2020/5/27,1708211,100422
2020/5/28,1730723,101622
2020/5/29,1755271,102812
2020/5/30,1778668,103775
2020/5/31,1799302,104379
2020/6/1,1821199,105113
2020/6/2,1841990,106195
2020/6/3,1861977,107184
2020/6/4,1883593,108192
2020/6/5,1912302,109304
2020/6/6,1934818,110032
2020/6/7,1953434,110422
2020/6/8,1971641,111144
2020/6/9,1990446,112174
2020/6/10,2013298,113103
2020/6/11,2036500,113980
2020/6/12,2061993,114759
2020/6/13,2087327,115451
2020/6/14,2106457,115768
2020/6/15,2126574,116216
2020/6/16,2151459,116985
2020/6/17,2177114,117746
2020/6/18,2205173,118473
2020/6/19,2236009,119171
2020/6/20,2268034,119717
2020/6/21,2294413,119974
2020/6/22,2324879,120334
2020/6/23,2359939,121167
2020/6/24,2396928,121934
2020/6/25,2438101,124400
2020/6/26,2483629,125033
2020/6/27,2525928,125544
2020/6/28,2565436,125815
2020/6/29,2604932,126162
2020/6/30,2653321,127462
2020/7/1,2703296,128104
2020/7/2,2758855,128827
2020/7/3,2816009,129418
2020/7/4,2866015,129679
2020/7/5,2910782,129941
2020/7/6,2958098,130332
2020/7/7,3012182,131290
2020/7/8,3071637,132238
