,0,1,2,3,4,5,6,7,8,9,10,11
0,[  0   0 224],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 225]
1,[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 251],[  0   0 245],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255]
2,[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  29  35],[173  29  35],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255]
3,[  0   0 255],[  0   0 255],[  0   0 255],[ 0  0 27],[173  29  35],[173  29  35],[168  35  36],[173  29  35],[173  28  37],[  0   0 255],[  0   0 255],[  0   0 255]
4,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  28  36],[  0   0 255],[  0   0 255],[173  30  34],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255]
5,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  28  36],[  0   0 255],[  0   0 255],[170   3 233],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255]
6,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[170  14  53],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[150   1 255],[  0   0 255],[  0   0 255]
7,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[170   4 178],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[165   2 255],[  0   0 255],[  0   0 255]
8,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[170   4 180],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[150   1 253],[  0   0 255],[  0   0 255]
9,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[170  14  55],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[150   1 255],[  0   0 255],[  0   0 255]
10,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  31  33],[  0   0 255],[  0   0 255],[173   6 176],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255]
11,[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  29  35],[  0   0 255],[  0   0 255],[173  33  31],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255]
12,[  0   0 255],[  0   0 255],[  0   0 255],[ 0  0 28],[173  29  35],[173  29  35],[173  29  35],[173  29  35],[173  22  46],[  0   0 255],[  0   0 255],[  0   0 255]
13,[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[173  29  35],[173  29  35],[173  29  35],[173  29  35],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255]
14,[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255]
15,[  0   0 242],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 255],[  0   0 236]
